Simulation Stats for User 1 | House 1 Bedroom 1 | Window 20260412_to_20260413
[User 1 | 2026-04-12 21:17] Sleep Phase=AWAKE Temp=22.94°C, Pres=0, HR=74.40bpm, Vib=0.1199g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:18] Sleep Phase=AWAKE Temp=22.94°C, Pres=0, HR=76.78bpm, Vib=0.1006g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:19] Sleep Phase=AWAKE Temp=22.93°C, Pres=0, HR=71.45bpm, Vib=0.0838g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:20] Sleep Phase=AWAKE Temp=22.93°C, Pres=0, HR=77.03bpm, Vib=0.1072g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:21] Sleep Phase=AWAKE Temp=22.92°C, Pres=0, HR=79.74bpm, Vib=0.1240g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:22] Sleep Phase=AWAKE Temp=22.91°C, Pres=0, HR=75.02bpm, Vib=0.1300g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:23] Sleep Phase=AWAKE Temp=22.91°C, Pres=0, HR=77.43bpm, Vib=0.1238g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:24] Sleep Phase=AWAKE Temp=22.90°C, Pres=0, HR=82.09bpm, Vib=0.1068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:25] Sleep Phase=AWAKE Temp=22.89°C, Pres=0, HR=78.35bpm, Vib=0.0833g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:26] Sleep Phase=AWAKE Temp=22.89°C, Pres=0, HR=81.91bpm, Vib=0.1010g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:27] Sleep Phase=AWAKE Temp=22.88°C, Pres=0, HR=77.56bpm, Vib=0.1202g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:28] Sleep Phase=AWAKE Temp=22.87°C, Pres=0, HR=73.41bpm, Vib=0.1295g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:29] Sleep Phase=AWAKE Temp=22.87°C, Pres=0, HR=72.20bpm, Vib=0.1267g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:30] Sleep Phase=AWAKE Temp=22.86°C, Pres=0, HR=77.93bpm, Vib=0.1125g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:31] Sleep Phase=AWAKE Temp=22.85°C, Pres=0, HR=81.49bpm, Vib=0.0903g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:32] Sleep Phase=AWAKE Temp=22.85°C, Pres=0, HR=73.14bpm, Vib=0.0944g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:33] Sleep Phase=AWAKE Temp=22.84°C, Pres=0, HR=80.71bpm, Vib=0.1156g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:34] Sleep Phase=AWAKE Temp=22.83°C, Pres=0, HR=76.20bpm, Vib=0.1281g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:35] Sleep Phase=AWAKE Temp=22.82°C, Pres=0, HR=80.18bpm, Vib=0.1288g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:36] Sleep Phase=AWAKE Temp=22.82°C, Pres=0, HR=70.50bpm, Vib=0.1175g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:37] Sleep Phase=AWAKE Temp=22.81°C, Pres=0, HR=75.95bpm, Vib=0.0971g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:38] Sleep Phase=AWAKE Temp=22.80°C, Pres=0, HR=75.88bpm, Vib=0.0875g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:39] Sleep Phase=AWAKE Temp=22.79°C, Pres=0, HR=71.48bpm, Vib=0.1103g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:40] Sleep Phase=AWAKE Temp=22.79°C, Pres=0, HR=74.98bpm, Vib=0.1256g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:41] Sleep Phase=AWAKE Temp=22.78°C, Pres=0, HR=73.11bpm, Vib=0.1298g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:42] Sleep Phase=AWAKE Temp=22.77°C, Pres=0, HR=71.40bpm, Vib=0.1218g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:43] Sleep Phase=AWAKE Temp=22.76°C, Pres=0, HR=77.95bpm, Vib=0.1036g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:44] Sleep Phase=AWAKE Temp=22.76°C, Pres=0, HR=78.11bpm, Vib=0.0804g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:45] Sleep Phase=AWAKE Temp=22.75°C, Pres=0, HR=77.80bpm, Vib=0.1044g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:46] Sleep Phase=AWAKE Temp=22.74°C, Pres=0, HR=82.46bpm, Vib=0.1223g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:47] Sleep Phase=AWAKE Temp=22.73°C, Pres=0, HR=76.33bpm, Vib=0.1299g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:48] Sleep Phase=AWAKE Temp=22.72°C, Pres=0, HR=78.56bpm, Vib=0.1253g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:49] Sleep Phase=AWAKE Temp=22.72°C, Pres=0, HR=79.69bpm, Vib=0.1096g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:50] Sleep Phase=AWAKE Temp=22.71°C, Pres=0, HR=75.84bpm, Vib=0.0866g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:51] Sleep Phase=AWAKE Temp=22.70°C, Pres=0, HR=80.28bpm, Vib=0.0980g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:52] Sleep Phase=AWAKE Temp=22.69°C, Pres=0, HR=77.12bpm, Vib=0.1181g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:53] Sleep Phase=AWAKE Temp=22.68°C, Pres=0, HR=72.81bpm, Vib=0.1290g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:54] Sleep Phase=AWAKE Temp=22.68°C, Pres=0, HR=79.87bpm, Vib=0.1278g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:55] Sleep Phase=AWAKE Temp=22.67°C, Pres=0, HR=76.30bpm, Vib=0.1150g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:56] Sleep Phase=AWAKE Temp=22.66°C, Pres=0, HR=75.36bpm, Vib=0.0935g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:57] Sleep Phase=AWAKE Temp=22.65°C, Pres=0, HR=74.55bpm, Vib=0.0912g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:58] Sleep Phase=AWAKE Temp=22.64°C, Pres=0, HR=74.42bpm, Vib=0.1132g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 21:59] Sleep Phase=AWAKE Temp=22.64°C, Pres=0, HR=71.66bpm, Vib=0.1271g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:00] Sleep Phase=LIGHT Temp=22.63°C, Pres=1, HR=60.89bpm, Vib=0.0067g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:01] Sleep Phase=LIGHT Temp=22.62°C, Pres=1, HR=64.92bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:02] Sleep Phase=LIGHT Temp=22.61°C, Pres=1, HR=60.82bpm, Vib=0.0050g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:03] Sleep Phase=LIGHT Temp=22.60°C, Pres=1, HR=59.13bpm, Vib=0.0042g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:04] Sleep Phase=LIGHT Temp=22.59°C, Pres=1, HR=66.21bpm, Vib=0.0054g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:05] Sleep Phase=AWAKE Temp=22.59°C, Pres=1, HR=74.24bpm, Vib=0.1242g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:06] Sleep Phase=LIGHT Temp=22.58°C, Pres=1, HR=64.04bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:07] Sleep Phase=LIGHT Temp=22.57°C, Pres=1, HR=60.34bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:08] Sleep Phase=AWAKE Temp=22.56°C, Pres=1, HR=77.43bpm, Vib=0.1065g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:09] Sleep Phase=LIGHT Temp=22.55°C, Pres=1, HR=61.83bpm, Vib=0.0059g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:10] Sleep Phase=LIGHT Temp=22.55°C, Pres=1, HR=63.32bpm, Vib=0.0048g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:11] Sleep Phase=LIGHT Temp=22.54°C, Pres=1, HR=64.19bpm, Vib=0.0044g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:12] Sleep Phase=LIGHT Temp=22.53°C, Pres=1, HR=60.44bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:13] Sleep Phase=LIGHT Temp=22.52°C, Pres=1, HR=59.06bpm, Vib=0.0064g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:14] Sleep Phase=LIGHT Temp=22.51°C, Pres=1, HR=58.09bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:15] Sleep Phase=LIGHT Temp=22.50°C, Pres=1, HR=63.99bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:16] Sleep Phase=LIGHT Temp=22.50°C, Pres=1, HR=60.52bpm, Vib=0.0065g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:17] Sleep Phase=LIGHT Temp=22.49°C, Pres=1, HR=62.19bpm, Vib=0.0057g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:18] Sleep Phase=LIGHT Temp=22.48°C, Pres=1, HR=60.93bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:19] Sleep Phase=LIGHT Temp=22.47°C, Pres=1, HR=59.17bpm, Vib=0.0045g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:20] Sleep Phase=DEEP  Temp=22.46°C, Pres=1, HR=59.92bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:21] Sleep Phase=DEEP  Temp=22.45°C, Pres=1, HR=58.84bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:22] Sleep Phase=DEEP  Temp=22.45°C, Pres=1, HR=58.29bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:23] Sleep Phase=DEEP  Temp=22.44°C, Pres=1, HR=60.79bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:24] Sleep Phase=DEEP  Temp=22.43°C, Pres=1, HR=58.77bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:25] Sleep Phase=DEEP  Temp=22.42°C, Pres=1, HR=59.52bpm, Vib=0.0018g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:26] Sleep Phase=DEEP  Temp=22.41°C, Pres=1, HR=59.76bpm, Vib=0.0017g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:27] Sleep Phase=DEEP  Temp=22.40°C, Pres=1, HR=59.94bpm, Vib=0.0017g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:28] Sleep Phase=DEEP  Temp=22.40°C, Pres=1, HR=61.35bpm, Vib=0.0016g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:29] Sleep Phase=DEEP  Temp=22.39°C, Pres=1, HR=58.15bpm, Vib=0.0015g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:30] Sleep Phase=DEEP  Temp=22.38°C, Pres=1, HR=60.02bpm, Vib=0.0014g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:31] Sleep Phase=DEEP  Temp=22.37°C, Pres=1, HR=60.81bpm, Vib=0.0013g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:32] Sleep Phase=DEEP  Temp=22.36°C, Pres=1, HR=59.68bpm, Vib=0.0012g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:33] Sleep Phase=DEEP  Temp=22.36°C, Pres=1, HR=57.98bpm, Vib=0.0011g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:34] Sleep Phase=DEEP  Temp=22.35°C, Pres=1, HR=59.13bpm, Vib=0.0010g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:35] Sleep Phase=DEEP  Temp=22.34°C, Pres=1, HR=57.03bpm, Vib=0.0011g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:36] Sleep Phase=DEEP  Temp=22.33°C, Pres=1, HR=57.65bpm, Vib=0.0012g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:37] Sleep Phase=DEEP  Temp=22.32°C, Pres=1, HR=59.71bpm, Vib=0.0013g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:38] Sleep Phase=DEEP  Temp=22.31°C, Pres=1, HR=59.34bpm, Vib=0.0014g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:39] Sleep Phase=DEEP  Temp=22.31°C, Pres=1, HR=57.38bpm, Vib=0.0015g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:40] Sleep Phase=DEEP  Temp=22.30°C, Pres=1, HR=60.04bpm, Vib=0.0015g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:41] Sleep Phase=DEEP  Temp=22.29°C, Pres=1, HR=59.82bpm, Vib=0.0016g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:42] Sleep Phase=DEEP  Temp=22.28°C, Pres=1, HR=58.09bpm, Vib=0.0017g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:43] Sleep Phase=DEEP  Temp=22.27°C, Pres=1, HR=58.95bpm, Vib=0.0018g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:44] Sleep Phase=DEEP  Temp=22.26°C, Pres=1, HR=60.28bpm, Vib=0.0018g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:45] Sleep Phase=DEEP  Temp=22.26°C, Pres=1, HR=58.96bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:46] Sleep Phase=DEEP  Temp=22.25°C, Pres=1, HR=59.11bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:47] Sleep Phase=DEEP  Temp=22.24°C, Pres=1, HR=59.66bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:48] Sleep Phase=DEEP  Temp=22.23°C, Pres=1, HR=59.78bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:49] Sleep Phase=DEEP  Temp=22.22°C, Pres=1, HR=58.92bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:50] Sleep Phase=LIGHT Temp=22.21°C, Pres=1, HR=64.23bpm, Vib=0.0041g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:51] Sleep Phase=LIGHT Temp=22.21°C, Pres=1, HR=64.03bpm, Vib=0.0052g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:52] Sleep Phase=LIGHT Temp=22.20°C, Pres=1, HR=63.89bpm, Vib=0.0062g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:53] Sleep Phase=LIGHT Temp=22.19°C, Pres=1, HR=60.62bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:54] Sleep Phase=LIGHT Temp=22.18°C, Pres=1, HR=59.24bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:55] Sleep Phase=LIGHT Temp=22.17°C, Pres=1, HR=64.79bpm, Vib=0.0067g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:56] Sleep Phase=LIGHT Temp=22.16°C, Pres=1, HR=57.73bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:57] Sleep Phase=LIGHT Temp=22.16°C, Pres=1, HR=61.53bpm, Vib=0.0050g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:58] Sleep Phase=LIGHT Temp=22.15°C, Pres=1, HR=62.05bpm, Vib=0.0042g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 22:59] Sleep Phase=LIGHT Temp=22.14°C, Pres=1, HR=61.12bpm, Vib=0.0054g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:00] Sleep Phase=LIGHT Temp=22.13°C, Pres=1, HR=59.04bpm, Vib=0.0063g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:01] Sleep Phase=LIGHT Temp=22.12°C, Pres=1, HR=63.89bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:02] Sleep Phase=LIGHT Temp=22.11°C, Pres=1, HR=58.83bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:03] Sleep Phase=LIGHT Temp=22.11°C, Pres=1, HR=62.62bpm, Vib=0.0066g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:04] Sleep Phase=LIGHT Temp=22.10°C, Pres=1, HR=61.00bpm, Vib=0.0059g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:05] Sleep Phase=LIGHT Temp=22.09°C, Pres=1, HR=65.60bpm, Vib=0.0048g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:06] Sleep Phase=LIGHT Temp=22.08°C, Pres=1, HR=58.85bpm, Vib=0.0044g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:07] Sleep Phase=LIGHT Temp=22.07°C, Pres=1, HR=63.27bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:08] Sleep Phase=LIGHT Temp=22.06°C, Pres=1, HR=62.03bpm, Vib=0.0064g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:09] Sleep Phase=LIGHT Temp=22.06°C, Pres=1, HR=62.93bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:10] Sleep Phase=LIGHT Temp=22.05°C, Pres=1, HR=61.24bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:11] Sleep Phase=LIGHT Temp=22.04°C, Pres=1, HR=61.57bpm, Vib=0.0065g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:12] Sleep Phase=LIGHT Temp=22.03°C, Pres=1, HR=66.66bpm, Vib=0.0057g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:13] Sleep Phase=LIGHT Temp=22.02°C, Pres=1, HR=60.78bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:14] Sleep Phase=LIGHT Temp=22.01°C, Pres=1, HR=65.44bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:15] Sleep Phase=REM   Temp=22.01°C, Pres=1, HR=67.28bpm, Vib=0.0056g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:16] Sleep Phase=REM   Temp=22.00°C, Pres=1, HR=67.54bpm, Vib=0.0034g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:17] Sleep Phase=REM   Temp=21.99°C, Pres=1, HR=62.19bpm, Vib=0.0051g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:18] Sleep Phase=REM   Temp=21.98°C, Pres=1, HR=62.36bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:19] Sleep Phase=REM   Temp=21.97°C, Pres=1, HR=66.43bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:20] Sleep Phase=REM   Temp=21.96°C, Pres=1, HR=70.06bpm, Vib=0.0040g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:21] Sleep Phase=REM   Temp=21.96°C, Pres=1, HR=60.07bpm, Vib=0.0058g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:22] Sleep Phase=REM   Temp=21.95°C, Pres=1, HR=61.34bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
